Edge,Name,Used by drivers,Length (m),Load (fe),Capacity (Ce),Congestion Ratio,Delay Factor,Base Time (s),Actual Time (s)
12878563573 → 12749483933,Lối vào bãi xe Taxi,10,113.80004370556716,10,16.666666666666668,0.6,1.012754584,20.484007867002088,20.745272865998427
12749483933 → 12878563582,Ga đến T3 (Tầng 1),10,187.41395883842333,10,16.666666666666668,0.6,1.012754584,33.734512590916204,34.164782265456104
11361818084 → 366367322,Nguyễn Thái Bình,10,91.72441079360839,10,33.333333333333336,0.3,1.0007971615,6.604157577139803,6.609422157300233
11414362359 → 11361818084,Út Tịch,10,16.72137216533737,10,33.333333333333336,0.3,1.0007971615,1.2039387959042906,1.204898529560742
11414362356 → 11414362359,Út Tịch,10,39.034263508912304,10,16.666666666666668,0.6,1.012754584,2.8104669726416858,2.84631330972347
11414869198 → 11414362356,Út Tịch,10,67.48997905026367,10,33.333333333333336,0.3,1.0007971615,4.859278491618984,4.863152121350281
11414869197 → 11414869198,Út Tịch,10,42.85040894952263,10,16.666666666666668,0.6,1.012754584,3.0852294443656296,3.1245802624730645
366461736 → 11414869197,Unknown,10,62.91470236238734,10,25.0,0.4,1.002519424,3.7748821417432397,3.7843926704083186
5721686013 → 366461736,Cộng Hoà,10,25.62454771006922,10,75.0,0.13333333333333333,1.000031104,1.5374728626041532,1.5375206841600717
2513642423 → 5721686013,Cộng Hoà,10,44.320978899706034,10,75.0,0.13333333333333333,1.000031104,2.659258733982362,2.6593414475660238
12834017505 → 2513642423,Cộng Hoà,10,205.62233386182874,10,75.0,0.13333333333333333,1.000031104,12.337340031709724,12.337723772334071
2079964423 → 12834017505,Đường 18E,10,13.749381432987843,10,16.666666666666668,0.6,1.012754584,0.9899554631751247,1.0025819332864507
12350576330 → 2079964423,Đường 18E,10,405.3366841231035,10,66.66666666666667,0.15,1.00004982259375,29.184241256863455,29.185695291459496
13086411831 → 12350576330,Đường 18E,10,144.66190492375398,10,66.66666666666667,0.15,1.00004982259375,8.679714295425239,8.680146741304446
12350576329 → 13086411831,Đường 18E,10,24.713872254160712,10,66.66666666666667,0.15,1.00004982259375,1.4828323352496426,1.4829062138026812
12350504397 → 12350576329,Đường 18E,10,98.50127750749637,10,33.333333333333336,0.3,1.0007971615,7.092091980539738,7.097745523221083
12350504398 → 12350504397,Đường 18E,10,120.08649540405311,10,33.333333333333336,0.3,1.0007971615,14.410379448486372,14.421866848183097
5719638619 → 12350504398,Đường C12,10,42.571412068626174,10,33.333333333333336,0.3,1.0007971615,3.065141668941085,3.06758508187161
13120862922 → 5719638619,Đường C12,10,109.13472223922888,10,33.333333333333336,0.3,1.0007971615,7.857700001224479,7.863963857144005
12908951539 → 13120862922,Đường C12,10,60.26743054544312,10,33.333333333333336,0.3,1.0007971615,4.339254999271905,4.342714086296007
12738755472 → 12908951539,Unknown,10,23.36248045929938,10,16.666666666666668,0.6,1.012754584,1.6820985930695553,1.7035530608711429
12738755477 → 12738755472,Lối Ra,10,223.8676041064072,10,16.666666666666668,0.6,1.012754584,40.2961687391533,40.81012960821501
12878563582 → 12738755477,Ga đến T3 (Tầng 1),10,84.86152012286541,10,16.666666666666668,0.6,1.012754584,15.275073622115773,15.469900831735234
366367322 → 6257994039,Nguyễn Thái Bình,10,6.287149750149748,10,33.333333333333336,0.3,1.0007971615,0.4526747820107819,0.45303563691902177
