u,v,key,name,highway_type,load_fe,capacity_Ce,congestion_ratio,base_time_sec,actual_time_sec,delay_factor
1409491228,1409491234,0,Vòng xoay Lăng Cha Cả,primary,15,25.0,0.6,0.6585045689310962,0.6713058977511167,1.01944
4618443234,11468812721,0,Trường Chinh,primary,13,25.0,0.52,4.404650948492687,4.452958623016809,1.010967424
11468812721,2233747342,0,Trường Chinh,primary,13,25.0,0.52,2.954098550530686,2.9864974018721413,1.010967424
2233756575,366457990,0,Hoàng Văn Thụ,primary,12,25.0,0.48,1.3595970732609755,1.370423033546853,1.007962624
366457990,2082380630,0,Hoàng Văn Thụ,primary,11,25.0,0.44,4.367251828161369,4.391805146823556,1.005622144
2233772196,2233756575,0,Hoàng Văn Thụ,primary,11,25.0,0.44,7.342310023986733,7.383589548234229,1.005622144
2082380630,2082380606,0,Hoàng Văn Thụ,primary,11,25.0,0.44,3.29472538868747,3.3132488092631265,1.005622144
6269039024,5769343546,0,Lạc Long Quân,secondary,7,16.666666666666668,0.42,5.512349807618,5.538078942888449,1.004667544
5769343546,5772508126,0,Lạc Long Quân,secondary,7,16.666666666666668,0.42,20.306343209306252,20.401123959714788,1.004667544
5769406269,6269039024,0,Lạc Long Quân,secondary,7,16.666666666666668,0.42,1.166796189225726,1.1722422617779693,1.004667544
5769406269,5769406270,0,Lạc Long Quân,secondary,7,16.666666666666668,0.42,5.839377568106442,5.866633119838191,1.004667544
5769406270,5769406269,0,Lạc Long Quân,secondary,7,16.666666666666668,0.42,5.839377568106442,5.866633119838191,1.004667544
3771398766,5765292378,0,Út Tịch,tertiary,7,16.666666666666668,0.42,5.675661708812663,5.702153109567661,1.004667544
11361818078,11361818072,0,Út Tịch,tertiary,7,16.666666666666668,0.42,0.602721089834311,0.6055343170408406,1.004667544
5772508126,5772508128,0,Lạc Long Quân,secondary,7,16.666666666666668,0.42,1.2422352846693157,1.2480334725188622,1.004667544
11361818072,366450465,0,Út Tịch,tertiary,7,16.666666666666668,0.42,7.913209677685491,7.950144932037313,1.004667544
6258204939,4928385258,0,Hẻm 1014 Cách Mạng Tháng 8,residential,4,10.0,0.4,2.484606220790959,2.4941471086787965,1.00384
3789055814,3735830662,0,Hẻm 373/1 Lý Thường Kiệt,residential,4,10.0,0.4,18.346192355207183,18.41664173385118,1.00384
4928385258,6258204935,0,Hẻm 1014 Cách Mạng Tháng 8,residential,4,10.0,0.4,0.45381683392391214,0.45555949056618,1.00384
1409491216,5721686015,0,Vòng xoay Lăng Cha Cả,primary,10,25.0,0.4,1.1977939361713574,1.2023934648862555,1.00384
2082380606,2061032822,0,Hoàng Văn Thụ,primary,10,25.0,0.4,1.4657252155804095,1.4713536004082384,1.00384
6258204935,5293846851,0,Hẻm 1014 Cách Mạng Tháng 8,residential,4,10.0,0.4,5.387547307098779,5.408235488758039,1.00384
5721686015,1404352840,0,Vòng xoay Lăng Cha Cả,primary,10,25.0,0.4,1.770015072262991,1.776811930140481,1.00384
726686203,726686207,0,Cầu Số 3,tertiary,6,16.666666666666668,0.36,3.3968197621124063,3.400946898123373,1.001215
366435681,2325193866,0,Ni Sư Huỳnh Liên,tertiary,6,16.666666666666668,0.36,1.7130291709374423,1.7173450177434022,1.002519424
1409491234,1409491216,0,Vòng xoay Lăng Cha Cả,primary,9,25.0,0.36,1.9493106273994685,1.9542217673775937,1.002519424
5296220734,366457740,0,Vân Côi,tertiary,6,16.666666666666668,0.36,6.185718608988547,6.201303056909279,1.002519424
6640164259,4618443234,0,Trường Chinh,primary,9,25.0,0.36,1.8715228216554234,1.8762379811688497,1.002519424
5502531263,2495738897,0,Ni Sư Huỳnh Liên,tertiary,6,16.666666666666668,0.36,1.458158364846648,1.4618320840268433,1.002519424
1606180505,1606180526,0,Lạc Long Quân,secondary,6,16.666666666666668,0.36,4.243595427823333,4.2542868439904815,1.002519424
366445199,5296220734,0,Vân Côi,tertiary,6,16.666666666666668,0.36,2.5619196113496754,2.5683741731045804,1.002519424
1606180526,5772508128,0,Lạc Long Quân,secondary,6,16.666666666666668,0.36,11.903594292050668,11.933584493196323,1.002519424
1894612445,1894612406,0,Unknown,secondary,6,16.666666666666668,0.36,1.4285806329955208,1.432179833328225,1.002519424
5769406258,11932199883,0,Lạc Long Quân,secondary,6,16.666666666666668,0.36,0.8582879609459048,0.8604503522336229,1.002519424
2409408742,366373991,0,Hoàng Hoa Thám,tertiary,6,16.666666666666668,0.36,0.5519019267967704,0.5532924017567884,1.002519424
2061032831,5769406258,0,Lạc Long Quân,secondary,6,16.666666666666668,0.36,3.859458130893186,3.869181742335153,1.002519424
10792191361,1409491228,0,Trần Quốc Hoàn,primary,9,25.0,0.36,3.898379178859273,3.908200848923591,1.002519424
11365759160,5762747868,0,Phạm Văn Hai,tertiary,6,16.666666666666668,0.36,15.272916033079216,15.291472626059408,1.001215
5772194292,1606180505,0,Lạc Long Quân,secondary,6,16.666666666666668,0.36,4.995128270746596,5.007713116794993,1.002519424
2332690848,11361603941,0,Phạm Văn Hai,tertiary,6,16.666666666666668,0.36,0.8974266726274844,0.8985170460347268,1.001215
2495738897,366435681,0,Ni Sư Huỳnh Liên,tertiary,6,16.666666666666668,0.36,1.4064530408761857,1.4099964924222421,1.002519424
10960824994,2233772196,0,Hoàng Văn Thụ,primary,8,25.0,0.32,2.569127365944184,2.573168253889492,1.001572864
3806810443,10960824994,0,Unknown,primary,8,25.0,0.32,0.38692245932693403,0.3875310357340008,1.001572864
5778117443,2325185441,0,Ni Sư Huỳnh Liên,tertiary,5,16.666666666666668,0.3,5.244768927185885,5.251141321432415,1.001215
5772508128,6327564767,0,Ni Sư Huỳnh Liên,tertiary,5,16.666666666666668,0.3,19.478925798553327,19.50259269339857,1.001215
5769406258,2061032831,0,Lạc Long Quân,secondary,5,16.666666666666668,0.3,3.859458130893186,3.864147372522221,1.001215
2325193866,2325193856,0,Hẻm 185 Ni Sư Huỳnh Liên,residential,3,10.0,0.3,8.219475788002903,8.229462451085327,1.001215
5769343546,6269039024,0,Lạc Long Quân,secondary,5,16.666666666666668,0.3,5.512349807618,5.519047312634256,1.001215
2091954882,2091954798,0,Trường Chinh,tertiary,5,16.666666666666668,0.3,0.890306752215317,0.8913884749192585,1.001215
11932199883,5769406277,0,Lạc Long Quân,secondary,5,16.666666666666668,0.3,1.6871971134607309,1.6892470579535857,1.001215
6269039024,5769406269,0,Lạc Long Quân,secondary,5,16.666666666666668,0.3,1.166796189225726,1.168213846595635,1.001215
11932199883,5769406258,0,Lạc Long Quân,secondary,5,16.666666666666668,0.3,0.8582879609459048,0.859330780818454,1.001215
6270855684,3789055814,0,Hẻm 373/1 Lý Thường Kiệt,residential,3,10.0,0.3,6.230364874840449,6.23793476816338,1.001215
2325185441,366477181,0,Ni Sư Huỳnh Liên,tertiary,5,16.666666666666668,0.3,0.9063184468474258,0.9074196237603454,1.001215
6180467010,4865956085,0,Hẻm 686 Cách Mạng Tháng 8,residential,3,10.0,0.3,1.2459620917463452,1.247475935687817,1.001215
6327564767,5778117443,0,Ni Sư Huỳnh Liên,tertiary,5,16.666666666666668,0.3,6.903485563927239,6.911873298887411,1.001215
366432089,366373656,0,Ni Sư Huỳnh Liên,tertiary,5,16.666666666666668,0.3,1.4864437195580245,1.4882497486772874,1.001215
411920930,6180467010,0,Hẻm 686 Cách Mạng Tháng 8,residential,3,10.0,0.3,5.438161880885388,5.4447692475706635,1.001215
4928385261,6258204939,0,Hẻm 1014 Cách Mạng Tháng 8,residential,3,10.0,0.3,6.8705117913397675,6.878859463166245,1.001215
5772508128,1606180526,0,Lạc Long Quân,secondary,5,16.666666666666668,0.3,11.903594292050668,11.91805715911551,1.001215
5769406277,5769406275,0,Lạc Long Quân,secondary,5,16.666666666666668,0.3,15.373704180230048,15.392383230809028,1.001215
4865956085,4869706929,0,Hẻm 686 Cách Mạng Tháng 8,residential,3,10.0,0.3,3.085934801302635,3.0896842120862176,1.001215
2325193856,5502531272,0,Hẻm 185 Ni Sư Huỳnh Liên,residential,3,10.0,0.3,6.187864907543626,6.195383163406292,1.001215
5772194293,5772194292,0,Lạc Long Quân,secondary,5,16.666666666666668,0.3,3.367196977371853,3.3712881216993598,1.001215
5772508126,5769343546,0,Lạc Long Quân,secondary,5,16.666666666666668,0.3,20.306343209306252,20.331015416305558,1.001215
366473550,3806810229,0,Ni Sư Huỳnh Liên,tertiary,5,16.666666666666668,0.3,1.9114739660033906,1.9137964068720847,1.001215
5772508128,5772508126,0,Lạc Long Quân,secondary,5,16.666666666666668,0.3,1.2422352846693157,1.2437446005401889,1.001215
5769406275,5769406272,0,Lạc Long Quân,secondary,5,16.666666666666668,0.3,5.627124307472411,5.63396126350599,1.001215
6270856149,6270855684,0,Hẻm 373/1 Lý Thường Kiệt,residential,3,10.0,0.3,10.993295559696667,11.0066524138017,1.001215
6327564854,5502531263,0,Ni Sư Huỳnh Liên,tertiary,5,16.666666666666668,0.3,0.4778775684894252,0.4784581897351398,1.001215
5769406272,5769406270,0,Lạc Long Quân,secondary,5,16.666666666666668,0.3,5.321208021165429,5.327673288911145,1.001215
366373656,6327564854,0,Ni Sư Huỳnh Liên,tertiary,5,16.666666666666668,0.3,2.191882032687616,2.194545169357331,1.001215
6327030639,5435389889,0,Trường Sơn,primary,7,25.0,0.28,0.28322700230694425,0.28336795418982036,1.000497664
2081907948,5721685973,0,Unknown,primary_link,7,25.0,0.28,3.2890986387106094,3.2907355046955447,1.000497664
366401316,5108956906,0,Cách Mạng Tháng 8,primary,7,25.0,0.28,1.3103733274913119,1.3115814707332858,1.000921984
2409408737,11452099363,0,Trường Chinh,primary,7,25.0,0.28,20.376470678541775,20.39525745848386,1.000921984
11452099363,2409408742,0,Trường Chinh,primary,7,25.0,0.28,3.51225432833923,3.51549257063389,1.000921984
2079964957,2079964991,0,Cộng Hoà,primary,7,25.0,0.28,1.1346637297062223,1.135709871510392,1.000921984
11453123766,2079964001,0,Trường Chinh,primary,7,25.0,0.28,7.92134622215894,7.928649576634232,1.000921984
11414869197,11414869198,0,Út Tịch,tertiary,4,16.666666666666668,0.24,3.0852294443656296,3.0867648519918305,1.000497664
4898834796,4903632208,0,Cách Mạng Tháng 8,primary,6,25.0,0.24,1.8421033203206225,1.8430200688274267,1.000497664
366477181,6327564865,0,Ni Sư Huỳnh Liên,tertiary,4,16.666666666666668,0.24,11.359582714044407,11.36523596941621,1.000497664
4875814758,4898834796,0,Cách Mạng Tháng 8,primary,6,25.0,0.24,2.8170594893213625,2.8184614384150564,1.000497664
11993191643,2409408737,0,Trường Chinh,primary,6,25.0,0.24,6.587061762915257,6.590339906420437,1.000497664
11361818114,11361818078,0,Hoàng Văn Thụ,primary,12,50.0,0.24,0.4565443474838447,0.4567715531699909,1.000497664
2288699455,2288699459,0,Hoàng Văn Thụ,primary,12,50.0,0.24,3.835151936233936,3.83706055328713,1.000497664
5293846851,366451136,0,Cách Mạng Tháng 8,primary,6,25.0,0.24,9.295726609640585,9.300352758128046,1.000497664
366451136,366426340,0,Bành Văn Trân,tertiary,4,16.666666666666668,0.24,18.157416184171986,18.166452476539867,1.000497664
366469267,5778117673,0,Ni Sư Huỳnh Liên,tertiary,4,16.666666666666668,0.24,3.5106407923837772,3.5123879119230783,1.000497664
5467216157,1894612445,0,Unknown,secondary,4,16.666666666666668,0.24,1.156476382124816,1.1570519187870498,1.000497664
2325185446,6327564847,0,Ni Sư Huỳnh Liên,tertiary,4,16.666666666666668,0.24,5.067629529935542,5.070151506717928,1.000497664
366473083,5112594985,0,Phạm Văn Bạch,tertiary,4,16.666666666666668,0.24,7.470561601647499,7.474279431216422,1.000497664
5462237878,366473083,0,Phạm Văn Bạch,tertiary,4,16.666666666666668,0.24,31.348589052566435,31.364190116788695,1.000497664
5097414331,4875814758,0,Phạm Văn Hai,tertiary,4,16.666666666666668,0.24,11.554694836691464,11.560445192342673,1.000497664
2288699459,11361818115,0,Hoàng Văn Thụ,primary,12,50.0,0.24,8.4187715621746,8.422961281705318,1.000497664
11483124153,5778117669,0,Ni Sư Huỳnh Liên,tertiary,4,16.666666666666668,0.24,2.0664595404325836,2.0674879429533135,1.000497664
11361603941,2332690848,0,Phạm Văn Hai,tertiary,4,16.666666666666668,0.24,0.8974266726274844,0.8978732895750909,1.000497664
2325193866,366469267,0,Ni Sư Huỳnh Liên,tertiary,4,16.666666666666668,0.24,1.074873247100471,1.075408172820116,1.000497664
3806810437,4875814765,0,Cách Mạng Tháng 8,primary,6,25.0,0.24,1.2022509857561594,1.2028493027907348,1.000497664
2233747342,11389684401,0,Trường Chinh,primary,6,25.0,0.24,2.533556242055554,2.5348171017892005,1.000497664
6327564865,2325185446,0,Ni Sư Huỳnh Liên,tertiary,4,16.666666666666668,0.24,3.0428599751044647,3.044374296971115,1.000497664
1409491253,366401453,0,Thăng Long,tertiary,4,16.666666666666668,0.24,4.885178302355387,4.887609479730051,1.000497664
11361818115,11361818114,0,Hoàng Văn Thụ,primary,12,50.0,0.24,1.564228764883962,1.5650072252280092,1.000497664
2091954798,6631011108,0,Phạm Văn Bạch,tertiary,4,16.666666666666668,0.24,2.421258728606693,2.4224637019106066,1.000497664
2082380642,3806810588,0,Xuân Diệu,primary,12,50.0,0.24,2.2968046042236865,2.297947641190243,1.000497664
