node_id,vi do,kinh do,degree,loai
366367322,10.7991329,106.6571621,6,Nga 6
366367617,10.8102713,106.6668589,8,Nga 8
366367660,10.7901425,106.6432639,8,Nga 8
366368733,10.7965385,106.6525594,6,Nga 6
366369484,10.7964286,106.6643864,6,Nga 6
366369902,10.8058582,106.6410987,6,Nga 6
366369976,10.7926171,106.6598668,4,Nga 4
366370841,10.8146682,106.6719795,4,Nga 4
366370884,10.7796422,106.6445259,6,Nga 6
366371936,10.7902203,106.640794,4,Nga 4
366372109,10.7833862,106.6613755,6,Nga 6
366372360,10.7993025,106.6563821,6,Nga 6
366372400,10.791368,106.6414231,6,Nga 6
366373568,10.8072974,106.6615214,6,Nga 6
366373656,10.7839027,106.6465703,6,Nga 6
366373991,10.7963062,106.6469313,4,Nga 4
366375943,10.7956238,106.6639667,8,Nga 8
366376504,10.7887216,106.6625878,6,Nga 6
366377240,10.8086299,106.6552412,3,Nga 3
366379261,10.8023233,106.6416505,5,Nga 5
366379315,10.7909631,106.6412738,6,Nga 6
366380463,10.7964983,106.6546622,4,Nga 4
366380528,10.7776167,106.6519915,6,Nga 6
366380840,10.7801864,106.6533088,6,Nga 6
366381292,10.7771508,106.6522564,6,Nga 6
366382479,10.8093335,106.6480851,6,Nga 6
366382807,10.7977201,106.6496075,6,Nga 6
366383494,10.7778492,106.6537393,6,Nga 6
366384365,10.7932802,106.6670886,4,Nga 4
366384461,10.7943767,106.6426525,8,Nga 8
366384546,10.7765539,106.6533297,6,Nga 6
366384620,10.7808659,106.6540552,6,Nga 6
366384785,10.793286,106.6664289,6,Nga 6
366385430,10.7937036,106.6566094,6,Nga 6
366386004,10.817234,106.637042,5,Nga 5
366386373,10.8009599,106.652582,6,Nga 6
366386647,10.8233495,106.6361631,6,Nga 6
366388443,10.7995707,106.6509174,8,Nga 8
366388635,10.8125003,106.664351,3,Nga 3
366390571,10.7963946,106.6467667,4,Nga 4
366393276,10.7845984,106.6522654,6,Nga 6
366393436,10.7994593,106.6524496,6,Nga 6
366399081,10.7888655,106.6455004,6,Nga 6
366400309,10.7934898,106.6649853,6,Nga 6
366401235,10.8079193,106.6628729,6,Nga 6
366401316,10.7883229,106.6620189,6,Nga 6
366401453,10.802996,106.660681,6,Nga 6
366401647,10.7834601,106.652919,5,Nga 5
366402781,10.8146428,106.6659035,6,Nga 6
366403291,10.7792906,106.6551579,6,Nga 6
366404398,10.8087192,106.6696415,4,Nga 4
366404401,10.8133416,106.6671455,4,Nga 4
366405142,10.7930084,106.657935,6,Nga 6
366405431,10.8236476,106.6299029,4,Nga 4
366405629,10.7758207,106.6533519,6,Nga 6
366405688,10.8090756,106.6552677,3,Nga 3
