Ten duong,Tong chieu dai (m),width,lanes,maxspeed
,2271.1649306626396,,"1, 3, 4","20, 30, 50"
Bành Văn Trân,1845.728507142128,,,
Bàu Cát,1770.740907589673,,,
Bàu Cát 4,483.3156966202771,,,
Bạch Đằng,3705.631549772431,,3,60
Bảy Hiền,709.7677482288876,,,
Bắc Hải,933.7635516167295,,,
Cách Mạng Tháng 8,2624.4398891689125,,"1, 2",50
Cầu Số 1,45.982103192637865,,,
Cầu Số 2,44.12827596354006,,,
Cầu Số 3,47.1780522515612,,,
Cầu Số 4,47.681471809795646,,,
Cầu vượt Ga T3,2456.3685533890766,,2,
Cầu vượt Hoàng Hoa Thám,913.0521349930204,9.5,2,
Cầu vượt Sân bay Tân Sơn Nhất,233.52208668112146,,3,30
Cộng Hoà,6467.226675802657,,"2, 3, 4",50
Cộng Hòa,606.5686802867513,,"2, 3",
Ga Quốc Nội,54.528306913600304,,,50
Ga đi Quốc tế,341.7737779199965,,,20
Ga đi T2,128.82496767069057,,,20
Ga đi T3 (Tầng 3),812.2248348572523,,,20
Ga đến T2,747.6167052598888,,,20
Ga đến T3 (Tầng 1),521.0705108689392,,,20
Ga đến T3 (Tầng 2),544.4034859956779,,,20
Hoàng Hoa Thám,2961.9419801483737,,"2, 4, 7",
Hoàng Sa,1007.7209458327843,,3,
Hoàng Văn Thụ,3008.049320071257,,"2, 4, 8",50
Hướng đi Trung tâm TP,188.58479368526247,,"2, 4","20, 30"
Hướng đi đường Hồng Hà,64.26213355914112,,2,30
Hầm chui Phan Thúc Duyện,504.19879164353864,,2,50
Hậu Giang,813.9558640776899,,,50
Hồng Hà,947.3398476343291,,"2, 3",50
Hồng Lạc,1650.4555154237526,,2,
Làn A Ga đi T1,207.7680965596364,,3,"20, 30"
Làn B (Ga đi T2),332.6995774515249,,,
Làn B Ga đến T1,194.64536683969382,,2,20
Làn C Ga đến T1,187.24042304452442,,2,20
Lê Bình,1073.806945867723,,,
Lê Minh Xuân,1089.6745060256999,,2,
Lê Văn Sỹ,1991.4057422920823,,2,
Lý Thường Kiệt,3366.3941046151685,,2,
Lạc Long Quân,3578.848056196401,,2,
Lối Ra,587.4643977322366,,,20
Lối vào Ga T3,91.90875436621363,,2,
Lối vào Nhà để xe T3,193.76033032751607,,,20
Lối vào bãi xe Taxi,410.8752807313627,,,20
Nguyễn Hồng Đào,1884.9915952963715,,2,
Nguyễn Thái Bình,2766.815641782926,,2,
Nguyễn Thị Nhỏ,1396.815320099035,,2,
Nguyễn Trọng Tuyển,1227.1964842301522,,2,50
Ni Sư Huỳnh Liên,1908.657715184304,,,30
Phan Huy Ích,2126.036445493433,,2,
Phan Huy ích,101.87897554213151,,1,
Phan Thúc Duyện,2156.0569029110807,,"2, 3","50, 60"
Phan Đình Giót,674.2690499185692,,"4, 5","50, 60"
Phạm Phú Thứ,1778.57263515724,,,
Phạm Văn Bạch,3918.4167159573144,,2,
Phạm Văn Hai,2671.808405656362,,2,50
Phổ Quang,2075.9353558827083,,2,50
Thiên Phước,371.60037435002727,,,
Thăng Long,1464.0347038568757,,,50
Trương Công Định,1501.9503652098126,,2,
Trường Chinh,8447.139476471773,,"1, 2, 3","60, 80"
Trường Sa,886.936793145708,,"1, 3",
Trường Sơn,1844.6565686363197,,"2, 3, 4","50, 60"
Trần Quốc Hoàn,732.2287610296064,,"3, 4",60
Tân Kỳ Tân Quý,417.84584717865755,,2,
Tân Sơn,3256.956551010327,,,
Vân Côi,242.98995056495062,,,
Vòng xoay Lê Đại Hành,29.432174519464844,,3,
Vòng xoay Lăng Cha Cả,130.04857905249662,,,
Võ Thành Trang,231.57983794271834,,,
Xuân Diệu,315.99630521542616,,"1, 2",
Xuân Hồng,440.06030569759827,,3,
Âu Cơ,1674.0073863289192,,2,
Út Tịch,1699.424951362137,,"1, 2",
Đường 18E,2155.5577192937553,,"2, 3, 4, 5","20, 30, 40, 50, 60"
Đường C12,4135.364286160168,,"2, 3, 4","30, 50, 60"
Đường Cộng Hoà,30.771120330549092,,3,
Đường Cộng Hòa,73.11215980475096,,3,
Đường Hoàng Văn Thụ,23.66044176660911,,4,50
Đường Lý Thường Kiệt,19.899305910987923,,2,
Đường Lạc Long Quân,35.272006597806836,,2,
Đường Nguyễn Văn Trỗi,246.19784088501046,,3,60
Đường Vào Ga Nội địa T1,607.142034955392,,2,"20, 30"
Đường Vào Ga Quốc tế T2,550.8570523805847,,2,"20, 30"
Đường Âu Cơ,16.167348667392677,,2,
Đường Đồng Đen,1813.1288070755513,,2,
Đặng Văn Sâm,781.9068050668757,,2,
Đồng Đen,1251.7711372192798,,2,
